group,code,name,year,disease,disease_description,denominator,incidence_rate
SEAR,IND,India,2018,MEAS,Measles,100000 population,12.590488005979811
SEAR,IND,India,2019,MEAS,Measles,100000 population,6.958826028988909
SEAR,IND,India,2020,MEAS,Measles,100000 population,10.998033569033176
SEAR,IND,India,2021,MEAS,Measles,100000 population,7.898915381894348
SEAR,IND,India,2022,MEAS,Measles,100000 population,7.411708273992714
SEAR,IND,India,2023,MEAS,Measles,100000 population,6.86129868571323
SEAR,IND,India,2024,MEAS,Measles,100000 population,6.026897807928064
AMR,USA,United States,2018,MEAS,Measles,100000 population,10.758815802082621
AMR,USA,United States,2019,MEAS,Measles,100000 population,12.957160607910833
AMR,USA,United States,2020,MEAS,Measles,100000 population,9.56749069703102
AMR,USA,United States,2021,MEAS,Measles,100000 population,10.09551300208317
AMR,USA,United States,2022,MEAS,Measles,100000 population,8.472225631756238
AMR,USA,United States,2023,MEAS,Measles,100000 population,4.275823545435185
AMR,USA,United States,2024,MEAS,Measles,100000 population,8.339119134935908
AMR,BRA,Brazil,2018,MEAS,Measles,100000 population,9.297895762563227
AMR,BRA,Brazil,2019,MEAS,Measles,100000 population,12.802818518997416
AMR,BRA,Brazil,2020,MEAS,Measles,100000 population,7.465627656132407
AMR,BRA,Brazil,2021,MEAS,Measles,100000 population,7.564265743931244
AMR,BRA,Brazil,2022,MEAS,Measles,100000 population,8.35265543972013
AMR,BRA,Brazil,2023,MEAS,Measles,100000 population,6.776821667419014
AMR,BRA,Brazil,2024,MEAS,Measles,100000 population,6.206874178655892
AFR,NGA,Nigeria,2018,MEAS,Measles,100000 population,8.919849221794106
AFR,NGA,Nigeria,2019,MEAS,Measles,100000 population,10.313321565628017
AFR,NGA,Nigeria,2020,MEAS,Measles,100000 population,12.585068443200946
AFR,NGA,Nigeria,2021,MEAS,Measles,100000 population,7.58810956983886
AFR,NGA,Nigeria,2022,MEAS,Measles,100000 population,8.892503130641863
AFR,NGA,Nigeria,2023,MEAS,Measles,100000 population,7.9451762883046815
AFR,NGA,Nigeria,2024,MEAS,Measles,100000 population,6.210069890476431
EUR,DEU,Germany,2018,MEAS,Measles,100000 population,8.942697045610249
EUR,DEU,Germany,2019,MEAS,Measles,100000 population,10.787437506401412
EUR,DEU,Germany,2020,MEAS,Measles,100000 population,10.528851212642511
EUR,DEU,Germany,2021,MEAS,Measles,100000 population,9.86778744758526
EUR,DEU,Germany,2022,MEAS,Measles,100000 population,8.277013422972047
EUR,DEU,Germany,2023,MEAS,Measles,100000 population,7.583537765325707
EUR,DEU,Germany,2024,MEAS,Measles,100000 population,7.670370404576534
WPR,JPN,Japan,2018,MEAS,Measles,100000 population,12.335083752314528
WPR,JPN,Japan,2019,MEAS,Measles,100000 population,11.38925633866268
WPR,JPN,Japan,2020,MEAS,Measles,100000 population,9.513386564894137
WPR,JPN,Japan,2021,MEAS,Measles,100000 population,7.077021323362407
WPR,JPN,Japan,2022,MEAS,Measles,100000 population,8.23909933218762
WPR,JPN,Japan,2023,MEAS,Measles,100000 population,6.3930045195451335
WPR,JPN,Japan,2024,MEAS,Measles,100000 population,4.556452915843188
